category_code,name,source_refs
LAP,Laptop / Computer,raw mapping
OFF,Office Equipment,raw mapping
POS,Point of Sale,raw mapping
BACKEND,Back-end / Store Support,raw mapping
NET,Network & Security,raw mapping
PDT,PDT / Handheld Scanner,raw mapping
MON,Monitor & Display,raw mapping
PRN,Printer,raw mapping
