shipment_key,target_location_code,category,hardware_type,model,quantity,serial_numbers,source_ref,status
SHIP-87F6BB5993,VO05,POS,Mini Pc,HP Prodesk 400 G7,1,8CC33807QS,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=4,PLANNED
SHIP-27B7C327FB,VO05,POS,Mini Pc,HP Prodesk 400 G7,1,8CC3372982,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=5,PLANNED
SHIP-05D34505E5,VO05,POS,Mini Pc,HP Prodesk 400 G7,1,8CC33807PT,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=6,PLANNED
SHIP-0CEA2DEE40,VO05,POS,Cash Drawer,Poscom,1,B5AT100015,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=7,PLANNED
SHIP-99F548DE23,VO05,POS,Keyboard,Keyboard,3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=8,PLANNED
SHIP-38EC5FD8F4,VO05,POS,Mouse,Mouse,3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 3!row=9,PLANNED
SHIP-66DC0A7C76,VO05,POS,Mpos,HP EngageGo10 Mobile tablet (i5 8Gb with scanner),1,5CG3350NKB,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=4,PLANNED
SHIP-846FAC49A5,VO05,POS,Bill printer,EPSON TM82II,1,TCEY004684,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=5,PLANNED
SHIP-9F18D88D80,VO05,POS,Bill printer,EPSON TM82II,1,TCCY011122,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=6,PLANNED
SHIP-200F3AFA96,VO05,POS,Bill printer,EPSON TM82II,1,TCEY007558,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=7,PLANNED
SHIP-AF56261D50,VO05,Back-end,A4 Printer,HP neverstop laser 1000w,1,CNBRP837ZY,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=8,PLANNED
SHIP-380AD6EEA7,VO05,POS,Printer for Mpos,mPOS Printer Star SM­T300i2-DB50,1,2560023022000021,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=9,PLANNED
SHIP-49CA9D6252,VO05,POS,Pole Display,Pole Display,1,D190928010051,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=10,PLANNED
SHIP-4E98160F0A,VO05,POS,Pole Display,Pole Display,1,D190928010130,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=11,PLANNED
SHIP-C6FA1C1FD0,VO05,POS,Pole Display,Pole Display,1,D190928010208,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=12,PLANNED
SHIP-170654DDB6,VO05,POS,Cash Drawer,Maken 410,1,MK410211201490,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 4!row=13,PLANNED
SHIP-5FE97B6A23,VO05,POS,Monitor,Monitor HP V22,1,CN41484H9J,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 5!row=4,PLANNED
SHIP-5D535DBE83,VO05,POS,Monitor,Monitor HP V190,1,1CR82307D0,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 5!row=5,PLANNED
SHIP-F6D613FF70,VO05,POS,Monitor,Monitor HP V194,1,3CQ63709H1,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 5!row=6,PLANNED
SHIP-12AB63D99F,VO06,POS,Mini Pc,HP Prodesk 400 G7,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=2,PLANNED
SHIP-AE3DE8019C,VO06,Network,Switch,Switch Ubiquiti UniFi Switch 24 PoE (USW-24-PoE),1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=3,PLANNED
SHIP-1D172738BA,VO06,Network,Switch,Cisco CBS110-16T-EU,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=4,PLANNED
SHIP-BF04152503,VO06,Network,Access Point,Unibiti UAP nanohd wifi,3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=5,PLANNED
SHIP-8F4BE568AF,VO06,Network,Sim Data (O2O),SIM DATA,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=6,PLANNED
SHIP-3D8E7A0061,VO06,PDT,PDT,Zebra TC26BK-11A222-A6,5,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=7,PLANNED
SHIP-5C53465608,VO06,PDT,PDT printer,PDT Printer Star SM-L200-UB40,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=8,PLANNED
SHIP-A16D8950E7,VO06,Back-end,Tablet for o2o,Samsung Galaxy Tab S10 FE 5G 8GB 128GB,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=9,PLANNED
SHIP-B47BD19A1D,VO06,Back-end,Printer for o2o,"Máy in mã vạch Postek IQ200, 203dpi -Bluetooth",1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=10,PLANNED
SHIP-5C52F8600A,VO06,POS,PC Workstation,Máy tính trạm Dell Precision 3680 Tower,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=11,PLANNED
SHIP-BA688A2DAB,VO06,POS,Monitor,"Monitor HP 19,5 inch - widescreen (hdmi port)",3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=12,PLANNED
SHIP-C300B14058,VO06,POS,Keyboard,Keyboard,3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=13,PLANNED
SHIP-70F68E6290,VO06,POS,Mouse,Mouse,3,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=14,PLANNED
SHIP-27874FFD27,VO06,POS,Cash Drawer,Maken 410,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=15,PLANNED
SHIP-297D6B23DD,VO06,POS,Pole Display,Pole Display,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=16,PLANNED
SHIP-5D38602EEA,VO06,POS,Scanner,Scanner Wireless DS2278,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=17,PLANNED
SHIP-4C7D9A0742,VO06,POS,Bill printer,"Printer Cashier - Thermal Star printer MCP31L, USB",2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=18,PLANNED
SHIP-3F54A2381E,VO06,Back-end,A4 Printer,A4 Printer,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=19,PLANNED
SHIP-074C369B75,VO06,POS,Mpos,HP EngageGo10 Mobile tablet (i5 8Gb with scanner),1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=20,PLANNED
SHIP-D55253B7D6,VO06,POS,Printer for Mpos,mPOS Printer Star SM­T300i2-DB50,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=21,PLANNED
SHIP-5F6F68E025,VO06,Network,Firewall,Fortigate FG-60F - 3 Year UTP license,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=22,PLANNED
SHIP-296141D6B5,VO06,Back-end,Dock zebra,Dock zebra,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=23,PLANNED
SHIP-00BC19D5E3,VO06,Back-end,UPS,UPS,2,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO06 FOOT LOCKER AEON HA LONG!row=24,PLANNED
