issue_id,severity,issue_type,message,source_ref,entity_type,entity_key,employee_id,holder_name,store_code,quantity,serial_count
ISSUE-00161,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=14,asset,STORE:VN09:14:1,,,VN09,1,
ISSUE-00162,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN09.xlsx#VN09!row=15,asset,STORE:VN09:15:1,,,VN09,1,
ISSUE-00163,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=3,asset,STORE:VN10:3:1,,,VN10,1,
ISSUE-00164,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN10.xlsx#VN10!row=4,asset,STORE:VN10:4:1,,,VN10,1,
ISSUE-00165,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=3,asset,STORE:VN12:3:1,,,VN12,1,
ISSUE-00166,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=4,asset,STORE:VN12:4:1,,,VN12,1,
ISSUE-00167,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=5,asset,STORE:VN12:5:1,,,VN12,1,
ISSUE-00168,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=6,asset,STORE:VN12:6:1,,,VN12,1,
ISSUE-00169,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=7,asset,STORE:VN12:7:1,,,VN12,1,
ISSUE-00170,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=8,asset,STORE:VN12:8:1,,,VN12,1,
ISSUE-00171,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=9,asset,STORE:VN12:9:1,,,VN12,1,
ISSUE-00172,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/!!!/VN12.xlsx#VN12!row=10,asset,STORE:VN12:10:1,,,VN12,1,
ISSUE-00173,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=3,asset,STORE:VN16:3:1,,,VN16,1,
ISSUE-00174,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=4,asset,STORE:VN16:4:1,,,VN16,1,
ISSUE-00175,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at VN09 and VN16,Audit 2026 device/Data store/Audit/VN16.xlsx#VN16!row=5,asset,SN:MK410211201237,,,,,
ISSUE-00176,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN19.xlsx#VN19!row=3,asset,STORE:VN19:3:1,,,VN19,1,
ISSUE-00177,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at VA19 and VN19,Audit 2026 device/Data store/Audit/VN19.xlsx#VN19!row=6,asset,SN:1CR82307CB,,,,,
ISSUE-00178,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at VA11 and VN19,Audit 2026 device/Data store/Audit/VN19.xlsx#VN19!row=8,asset,SN:FGT40FTK24006198,,,,,
ISSUE-00179,REVIEW,DUPLICATE_SOURCE_SHEET_ROW,Same inventory row repeated in another sheet of the workbook,Audit 2026 device/Data store/Audit/VN27.xlsx#VN27!row=18,source,,,,,,
ISSUE-00180,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN27.xlsx#VN27!row=17,asset,STORE:VN27:17:1,,,VN27,1,
ISSUE-00181,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN27.xlsx#VN27!row=20,asset,STORE:VN27:20:1,,,VN27,1,
ISSUE-00182,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN27.xlsx#VN27!row=21,asset,STORE:VN27:21:1,,,VN27,1,
ISSUE-00183,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN27.xlsx#VN27!row=23,asset,STORE:VN27:23:1,,,VN27,1,
ISSUE-00184,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=3,asset,STORE:VN28:3:1,,,VN28,1,
ISSUE-00185,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=4,asset,STORE:VN28:4:1,,,VN28,1,
ISSUE-00186,REVIEW,MISSING_SERIAL_UNIT,Unit 1/1 has no serial number,Audit 2026 device/Data store/Audit/VN28.xlsx#VN28!row=12,asset,STORE:VN28:12:1,,,VN28,1,
ISSUE-00187,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at A001 and VO02,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=43,asset,SN:2530022102301145,,,,,
ISSUE-00188,REVIEW,MISSING_SERIAL_UNIT,Unit 1/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57,asset,STORE:VO02:57:1,,,VO02,5,
ISSUE-00189,REVIEW,MISSING_SERIAL_UNIT,Unit 2/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57,asset,STORE:VO02:57:2,,,VO02,5,
ISSUE-00190,REVIEW,MISSING_SERIAL_UNIT,Unit 3/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57,asset,STORE:VO02:57:3,,,VO02,5,
ISSUE-00191,REVIEW,MISSING_SERIAL_UNIT,Unit 4/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57,asset,STORE:VO02:57:4,,,VO02,5,
ISSUE-00192,REVIEW,MISSING_SERIAL_UNIT,Unit 5/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=57,asset,STORE:VO02:57:5,,,VO02,5,
ISSUE-00193,REVIEW,MISSING_SERIAL_UNIT,Unit 1/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58,asset,STORE:VO02:58:1,,,VO02,5,
ISSUE-00194,REVIEW,MISSING_SERIAL_UNIT,Unit 2/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58,asset,STORE:VO02:58:2,,,VO02,5,
ISSUE-00195,REVIEW,MISSING_SERIAL_UNIT,Unit 3/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58,asset,STORE:VO02:58:3,,,VO02,5,
ISSUE-00196,REVIEW,MISSING_SERIAL_UNIT,Unit 4/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58,asset,STORE:VO02:58:4,,,VO02,5,
ISSUE-00197,REVIEW,MISSING_SERIAL_UNIT,Unit 5/5 has no serial number,Audit 2026 device/Data store/Audit/VO02.xlsx#VO02!row=58,asset,STORE:VO02:58:5,,,VO02,5,
ISSUE-00198,REVIEW,MISSING_SERIAL_UNIT,Unit 1/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=20,asset,STORE:VO04:20:1,,,VO04,3,
ISSUE-00199,REVIEW,MISSING_SERIAL_UNIT,Unit 2/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=20,asset,STORE:VO04:20:2,,,VO04,3,
ISSUE-00200,REVIEW,MISSING_SERIAL_UNIT,Unit 3/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=20,asset,STORE:VO04:20:3,,,VO04,3,
ISSUE-00201,REVIEW,MISSING_SERIAL_UNIT,Unit 1/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=21,asset,STORE:VO04:21:1,,,VO04,3,
ISSUE-00202,REVIEW,MISSING_SERIAL_UNIT,Unit 2/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=21,asset,STORE:VO04:21:2,,,VO04,3,
ISSUE-00203,REVIEW,MISSING_SERIAL_UNIT,Unit 3/3 has no serial number,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=21,asset,STORE:VO04:21:3,,,VO04,3,
ISSUE-00204,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at VI03 and VO04,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=22,asset,SN:20201130015,,,,,
ISSUE-00205,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at VI03 and VO04,Audit 2026 device/Data store/Audit/VO04.xlsx#VO04 FOOT LOCKER AEON THANH KHE!row=30,asset,SN:VNC3K04690,,,,,
ISSUE-00206,REVIEW,DUPLICATE_SERIAL_CROSS_LOCATION,Same physical key observed at HCM and DSV,Asset management/Warehouse/Asset_List_DSV.xlsx#Asset List!row=4,asset,AID:22VN00000047,,,,,
ISSUE-00207,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=2,maintenance,TKT-E305931D4D,,,,,
ISSUE-00208,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=3,asset,SN:4R4JGL3,,,,,
ISSUE-00209,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=3,maintenance,TKT-E075C69018,,,,,
ISSUE-00210,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=4,asset,AID:22VN00110026,,,,,
ISSUE-00211,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=4,maintenance,TKT-70FC137C53,,,,,
ISSUE-00212,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=5,maintenance,TKT-48CCC1387C,,,,,
ISSUE-00213,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=6,asset,AID:22VN00110011,,,,,
ISSUE-00214,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=6,maintenance,TKT-3640AD246B,,,,,
ISSUE-00215,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=7,asset,AID:22VN00110024,,,,,
ISSUE-00216,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=7,maintenance,TKT-AFC4A908CE,,,,,
ISSUE-00217,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=8,maintenance,TKT-79B5D98E0E,,,,,
ISSUE-00218,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=9,maintenance,TKT-9F599F2D3F,,,,,
ISSUE-00219,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=10,maintenance,TKT-55EA9F79D2,,,,,
ISSUE-00220,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=11,maintenance,TKT-18A258E05B,,,,,
ISSUE-00221,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=12,asset,SN:5CG7325LVQ,,,,,
ISSUE-00222,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=12,maintenance,TKT-60AEB765DC,,,,,
ISSUE-00223,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=13,asset,SN:PC-OVT5R6,,,,,
ISSUE-00224,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=13,maintenance,TKT-1D1A8D4326,,,,,
ISSUE-00225,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=14,asset,SN:FXVJB62,,,,,
ISSUE-00226,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=14,maintenance,TKT-888AE80125,,,,,
ISSUE-00227,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=15,asset,SN:CND218PWRZ,,,,,
ISSUE-00228,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=15,maintenance,TKT-0AD45CBB8B,,,,,
ISSUE-00229,REVIEW,BROKEN_ASSET_NOT_IN_INVENTORY,Broken asset could not be matched to office/store inventory; created review record,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=16,asset,OBS:5EAEF14361,,,,,
ISSUE-00230,REVIEW,MISSING_MAINTENANCE_REPORTER,Source has no employee reporter; import may use controlled system admin fallback,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Office_Broken!row=16,maintenance,TKT-E1E8E31293,,,,,
ISSUE-00231,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=2,transfer,TRF-366EA33660,,,,,
ISSUE-00232,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=3,transfer,TRF-D436FDCEC7,,,,,
ISSUE-00233,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=4,transfer,TRF-0A6965A2C5,,,,,
ISSUE-00234,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=5,transfer,TRF-0715B74D62,,,,,
ISSUE-00235,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=6,asset,SN:TCEY002724,,,,,
