warehouse_code,name,location_code,source_ref
DSV,Kho DSV,DSV,Asset management/Warehouse/Asset_List_DSV.xlsx
GEODIS,Kho Geodis,GEODIS,Asset management/Warehouse/Geodis device.xlsx
